Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Cheracebus regulus,Jurua collared titi,1812110,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Cheracebus,HLcheReg1,GCA_963574635.1,56688,56688,human
Cheracebus torquatus,Collared titi,30592,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Cheracebus,HLcheTor1,GCA_963574645.1,49680,49680,human
Chinchilla lanigera,long-tailed chinchilla,34839,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Chinchillidae; Chinchilla,chiLan1,GCF_000276665.1,61105,21893125,human
Chiropotes israelita,Primates,280163,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Chiropotes,HLchiIsr1,GCA_963573965.1,61605,61606,human
Chiropotes sagulatus,Primates,3134011,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Chiropotes,HLchiSag1,GCA_963574175.1,53522,53527,human
Chlorocebus aethiops,grivet,9534,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Chlorocebus,HLchlAet1,GCA_023783515.1,9639656,9639656,human
Chlorocebus sabaeus,green monkey,60711,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Chlorocebus,chlSab2,GCF_000409795.2,90449,81825804,human
Choloepus didactylus,southern two-toed sloth,27675,Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus,HLchoDid1,GCA_004027855.1,7167,7289,human
Choloepus didactylus,southern two-toed sloth,27675,Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus,HLchoDid2,GCF_015220235.1,20994632,146178362,human
Choloepus hoffmanni,Hoffmanns two-fingered sloth,9358,Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Folivora; Megalonychidae; Choloepus,HLchoHof3,DNA Zoo Consortium,62424,140950122,human
Chrysochloris asiatica,Cape golden mole,185453,Mammalia; Theria; Eutheria; Afrotheria; Chrysochloridae; Chrysochlorinae; Chrysochloris,chrAsi1,GCF_000296735.1,19631,13470186,human
Chrysocyon brachyurus,maned wolf,68728,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Chrysocyon,HLchrBra1,DNA Zoo Consortium,90967,60785871,human
Coendou prehensilis,Brazilian porcupine,187985,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Coendou,HLcoePre1,DNA Zoo Consortium,32321,42412415,human
Colobus angolensis palliatus,Angolan colobus,336983,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Colobus; Colobus angolensis,colAng1,GCF_000951035.1,38363,7840981,human
Colobus guereza,mantled guereza,33548,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Colobus,HLcolGue1,GCA_021498455.1,15612012,145964134,human
Condylura cristata,star-nosed mole,143302,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Condylura,conCri1,GCF_000260355.1,46163,55520359,human
Connochaetes taurinus,brindled gnu,9927,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Connochaetes,HLconTau2,DNA Zoo Consortium,68346,98098359,human
Craseonycteris thonglongyai,hog-nosed bat,208972,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Craseonycteridae; Craseonycteris,HLcraTho1,GCA_004027555.1,23218,25762,human
Cricetomys gambianus,Gambian giant pouched rat,10085,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Nesomyidae; Cricetomyinae; Cricetomys,HLcriGam1,GCA_004027575.1,80761,110049,human
Cricetulus griseus,Chinese hamster,10029,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Cricetinae; Cricetulus,HLcriGri3,GCA_003668045.1,2098530,19581774,human
Crocuta crocuta,spotted hyena,9678,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Crocuta,HLcroCro1,GCA_008692635.1,97873,7236831,human
Crocuta crocuta,spotted hyena,9678,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Crocuta,HLcroCro2,DNA Zoo Consortium,60238,101812163,human
Cryptoprocta ferox,fossa,94188,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Eupleridae; Euplerinae; Cryptoprocta,HLcryFer2,DNA Zoo Consortium,123817,107277967,human
Ctenodactylus gundi,northern gundi,10166,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenodactylidae; Ctenodactylus,HLcteGun1,GCA_004027205.1,218543,354548,human
Ctenomys sociabilis,social tuco-tuco,43321,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Ctenomyidae; Ctenomys,HLcteSoc1,GCA_004027165.1,37562,49073,human
Cynomys gunnisoni,Gunnisons prairie dog,45479,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Cynomys,HLcynGun1,GCA_011316645.1,687762,824613,human
Cynopterus brachyotis,lesser short-nosed fruit bat,58060,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Cynopterinae; Cynopterus,HLcynBra1,GCA_009793145.1,16627,251278,human
Damaliscus lunatus,topi,9929,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Alcelaphinae; Damaliscus,HLdamLun1,GCA_006408505.1,38843,1166796,human
Dasyprocta punctata,punctate agouti,34846,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dasyproctidae; Dasyprocta,HLdasPun1,GCA_004363535.1,38650,43703,human
Dasypus novemcinctus,nine-banded armadillo,9361,Mammalia; Theria; Eutheria; Xenarthra; Cingulata; Dasypodidae; Dasypus,dasNov3,GCF_000208655.1,26277,1687935,human
Daubentonia madagascariensis,aye-aye,31869,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Chiromyiformes; Daubentoniidae; Daubentonia,HLdauMad1,GCA_004027145.1,298834,379919,human
Daubentonia madagascariensis,aye-aye,31869,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Chiromyiformes; Daubentoniidae; Daubentonia,HLdauMad2,GCA_023783475.1,27954151,27954151,human
Delphinapterus leucas,beluga whale,9749,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Delphinapterus,HLdelLeu2,GCA_002288925.3,196689,31183418,human
Delphinapterus leucas,beluga whale,9749,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Monodontidae; Delphinapterus,HLdelLeu3,DNA Zoo Consortium,179643,107969763,human
Dicerorhinus sumatrensis sumatrensis,Sumatran rhinoceros,310712,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Dicerorhinus; Dicerorhinus sumatrensis,HLdicSum1,GCA_002844835.1,89455,614498,human
Diceros bicornis,black rhinoceros,9805,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Diceros,HLdicBic1,GCA_004027315.2,91002,14664201,human
Diceros bicornis minor,black rhinoceros,77932,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Diceros; Diceros bicornis,HLdicBicMin2,GCA_020826845.1,28468213,65026825,human
Didelphis virginiana,North American opossum,9267,Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Didelphis,HLdidVir1,DNA Zoo Consortium,36692,245356608,human
Dinomys branickii,pacarana,108858,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dinomyidae; Dinomys,HLdinBra1,GCA_004027595.1,64805,77918,human
Dipodomys ordii,Ords kangaroo rat,10020,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys,dipOrd2,GCF_000151885.1,48087,11931245,human
Dipodomys stephensi,Stephenss kangaroo rat,323379,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys,HLdipSte1,GCA_004024685.1,30710,36811,human
Dolichotis patagonum,Patagonian cavy,29091,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Dolichotis,HLdolPat1,GCA_004027295.1,27983,31026,human
Doryrhina cyclops,cyclops roundleaf bat,249021,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Doryrhina,HLhipCyc2,GCA_043880285.1,14255823,154073572,human
Dromiciops gliroides,monito del monte,33562,Mammalia; Theria; Metatheria; Microbiotheria; Microbiotheriidae; Dromiciops,HLdroGli1,GCF_019393635.1,38230856,670775900,human
Dugong dugon,dugong,29137,Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Dugongidae; Dugong,HLdugDug1,GCA_015147995.1,19047,31096,human
Echinops telfairi,small Madagascar hedgehog,9371,Mammalia; Theria; Eutheria; Afrotheria; Tenrecidae; Tenrecinae; Echinops,echTel2,GCF_000313985.1,20428,45764842,human
Eidolon dupreanum,Malagasy straw-colored fruit bat,58063,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Eidolon,HLeidDup1,GCA_028627145.1,108606,101563129,human
Eidolon helvum,straw-colored fruit bat,77214,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Eidolon,HLeidHel2,DNA Zoo Consortium,12384,81966912,human
Elaphurus davidianus,Pere Davids deer,43332,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Elaphurus,HLelaDav1,GCA_002443075.1,59950,2844142,human
Elephantulus edwardii,Cape elephant shrew,28737,Mammalia; Theria; Eutheria; Afrotheria; Macroscelidea; Macroscelididae; Elephantulus,eleEdw1,GCF_000299155.1,24219,15011382,human
Elephas maximus,Asiatic elephant,9783,Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Elephas,HLeleMax1,DNA Zoo Consortium,57119,95956831,human
Eliomys quercinus,garden dormouse,53277,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Leithiinae; Eliomys,HLeliQue1A,TBG,51740598,108114398,human
Eliomys quercinus,garden dormouse,53277,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Leithiinae; Eliomys,HLeliQue1B,TBG,45399149,107541173,human
Ellobius lutescens,Transcaucasian mole vole,39086,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius,HLellLut1,GCA_001685075.1,11648,242123,human
Ellobius talpinus,Northern mole vole,329620,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius,HLellTal1,GCA_001685095.1,8259,15246,human
Enhydra lutris kenyoni,sea otter,391180,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Enhydra; Enhydra lutris,enhLutKen1,GCF_002288905.1,244529,38751465,human
Enhydra lutris nereis,sea otter,1049777,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Enhydra; Enhydra lutris,enhLutNer1,GCA_006410715.1,23473,9763901,human
Eonycteris spelaea,lesser dawn bat,58065,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Eonycteris,HLeonSpe1,GCA_003508835.1,8002591,8002591,human
Eptesicus fuscus,big brown bat,29078,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Eptesicus,HLeptFus2,DNA Zoo Consortium,18728,102216854,human
Eptesicus fuscus,big brown bat,29078,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Eptesicus,eptFus1,GCF_000308155.1,21392,13454942,human
Equus asinus,ass,9793,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Asinus,HLequAsi1,GCA_001305755.1,66737,3776412,human
Equus asinus asinus,ass,83772,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Asinus; Equus asinus,HLequAsiAsi2,GCA_003033725.1,134070,15144613,human
Equus burchellii boehmi,Grants zebra,89250,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris; Equus burchellii,HLequQuaBoe1,DNA Zoo Consortium,89245,114504116,human
Equus burchellii quagga,quagga,89252,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris; Equus burchellii,HLequQua1,DNA Zoo Consortium,89245,114504116,human
Equus caballus,horse,9796,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Equus,equCab3,GCF_002863925.1,1502753,87230776,human
Equus przewalskii,Przewalskis horse,9798,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Equus,equPrz1,GCF_000696695.1,57610,513800,human
Equus zebra,mountain zebra,9791,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris,HLequZeb1,DNA Zoo Consortium,182436,150600390,human
Erethizon dorsatum,North American porcupine,34844,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Erethizon,HLereDor1,GCA_006547115.1,118744,16680019,human
Erethizon dorsatum,North American porcupine,34844,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Erethizon,HLereDor2,DNA Zoo Consortium,116534,126287952,human
Erignathus barbatus,bearded seal,39304,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Erignathus,HLeriBar1,DNA Zoo Consortium,45719,133069726,human
Erinaceus europaeus,western European hedgehog,9365,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Erinaceidae; Erinaceinae; Erinaceus,HLeriEur3,GCF_950295315.1,999919,126757761,human
Erinaceus europaeus,western European hedgehog,9365,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Erinaceidae; Erinaceinae; Erinaceus,eriEur2,GCF_000296755.1,21359,3264618,human
Erythrocebus patas,red guenon,9538,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Erythrocebus,HLeryPat1,GCA_004027335.1,28523,34535,human
Erythrocebus patas,red guenon,9538,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Erythrocebus,HLeryPat3,GCA_023783455.1,18747272,18747272,human
Eschrichtius robustus,grey whale,9764,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius,HLescRob1,GCA_004363415.1,68559,94414,human
Eschrichtius robustus,grey whale,9764,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius,HLescRob2,DNA Zoo Consortium,66695,103007579,human
Eschrichtius robustus,grey whale,9764,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius,HLescRob3,GCA_028021215.1,39209000,126538682,human
Eubalaena australis,Southern right whale,160595,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena,HLeubAus1,DNA Zoo Consortium,37826,112042483,human
Eubalaena glacialis,North Atlantic right whale,27606,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena,HLeubGla1,DNA Zoo Consortium,65390,101413572,human
Eubalaena japonica,North Pacific right whale,302098,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena,HLeubJap1,GCA_004363455.1,34866,39813,human
Eudorcas thomsonii,Thomsons gazelle,69308,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Eudorcas,HLeudTho1,GCA_006408755.1,137476,1581717,human
Eulemur flavifrons,Sclaters lemur,87288,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,HLeulFla1,DNA Zoo Consortium,26840,156661540,human
Eulemur flavifrons,Sclaters lemur,87288,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,eulFla1,GCA_001262665.1,27331,413352,human
Eulemur fulvus,brown lemur,13515,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,HLeulFul1,GCA_004027275.1,21310,22561,human
Eulemur fulvus collaris,brown lemur,47178,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur; Eulemur fulvus,HLeulCol1,DNA Zoo Consortium,43549,109878484,human
Eulemur macaco,black lemur,30602,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,eulMac1,GCA_001262655.1,20038,405987,human
Eulemur mongoz,mongoose lemur,34828,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,HLeulMon1,DNA Zoo Consortium,37662,82429097,human
Eumetopias jubatus,Steller sea lion,34886,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Eumetopias,HLeumJub1,GCA_004028035.1,242372,14018600,human
Felis catus,domestic cat,9685,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis,felCat9,GCF_000181335.3,41915695,83967707,human
Felis nigripes,black-footed cat,61379,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis,HLfelNig1,GCA_004023925.1,16007,18631,human
Felis nigripes,black-footed cat,61379,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis,HLfelNig2,DNA Zoo Consortium,50376,139656774,human
Fukomys damarensis,Damara mole-rat,885580,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Fukomys,HLfukDam2,GCA_012274545.1,44756,62586000,human
Galago moholi,Moholi bushbaby,30609,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Galagidae; Galago,HLgalMoh1,GCA_023783435.1,583552,583552,human
Galago senegalensis,Senegal galago,9465,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Galagidae; Galago,HLgalSen1,GCA_963575145.1,30883,30883,human
Galeopterus variegatus,Sunda flying lemur,482537,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Dermoptera; Cynocephalidae; Galeopterus,HLgalVar2,GCA_004027255.2,34666,7885395,human
Giraffa camelopardalis,giraffe,9894,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa,HLgirCam1,GCA_006408565.1,25056,3153258,human
Giraffa camelopardalis,giraffe,9894,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa,HLgirCam2,DNA Zoo Consortium,45664,154205505,human
Giraffa tippelskirchi,Masai giraffe,439328,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa,HLgirTip1,GCA_001651235.1,47894,212164,human
